Cleveland Cavaliers,102,Boston Celtics,99
Houston Rockets,122,Golden State Warriors,121
Washington Wizards,120,Philadelphia,115
Detroit Pistons,102,Charlotte Hornets,90
Indiana Pacers,140,Brooklyn Nets,131
Orlando Magic,116,Miami Heat,109
Milwaukee Bucks,108,Boston Celtics,100
Memphis Grizzlies,103,New Orleans Pelicans,91
Atlanta Hawks,117,Dallas Mavericks,111
Utah Jazz,106,Denver Nuggets,96
San Antonio Spurs,107,Minnesota Timberwolves,99
Portland Trail Blazers,124,Phoenix Suns,76
Houston Rockets,105,Sacramento Kings,100
Toronto Raptors,117,Chicago Bulls,100
Oklahoma City Thunder,105,New York Knicks,84
Los Angeles Clippers,108,Los Angeles Lakers,92
Cleveland Cavaliers,116,Milwaukee Bucks,97
Charlotte Hornets,109,Atlanta Hawks,91
Portland Trail Blazers,114,Indiana Pacers,96
Boston Celtics,102,Philadelphia,92
Washington Wizards,115,Detroit Pistons,111
Brooklyn Nets,126,Orlando Magic,121
Minnesota Timberwolves,100,Utah Jazz,97
Sacramento Kings,93,Dallas Mavericks,88
Golden State Warriors,128,New Orleans Pelicans,120
Los Angeles Lakers,132,Phoenix Suns,130
Toronto Raptors,128,Philadelphia,94
Orlando Magic,114,Cleveland Cavaliers,93
Miami Heat,112,Indiana Pacers,108
Detroit Pistons,111,New York Knicks,107
San Antonio Spurs,87,Chicago Bulls,77
Houston Rockets,107,Dallas Mavericks,91
Memphis Grizzlies,111,Golden State Warriors,101
Milwaukee Bucks,113,Portland Trail Blazers,110
Denver Nuggets,96,Sacramento Kings,79
Utah Jazz,96,Oklahoma City Thunder,87
Los Angeles Clippers,130,Phoenix Suns,88
Brooklyn Nets,116,Atlanta Hawks,104
Minnesota Timberwolves,115,Oklahoma City Thunder,113
New Orleans Pelicans,119,Los Angeles Lakers,112
Philadelphia,97,Detroit Pistons,86
Miami Heat,104,Atlanta Hawks,93
Memphis Grizzlies,98,Houston Rockets,90
Milwaukee Bucks,103,Charlotte Hornets,94
Golden State Warriors,133,Dallas Mavericks,103
San Antonio Spurs,101,Toronto Raptors,97
Washington Wizards,109,Denver Nuggets,104
Phoenix Suns,117,Sacramento Kings,115
Cleveland Cavaliers,119,Chicago Bulls,112
Orlando Magic,125,Brooklyn Nets,121
Boston Celtics,110,New York Knicks,89
Indiana Pacers,130,Minnesota Timberwolves,107
Portland Trail Blazers,103,New Orleans Pelicans,93
Los Angeles Clippers,102,Utah Jazz,84
Charlotte Hornets,110,Denver Nuggets,93
Detroit Pistons,122,Minnesota Timberwolves,101
Houston Rockets,105,Philadelphia,104
Brooklyn Nets,112,Cleveland Cavaliers,107
San Antonio Spurs,117,Miami Heat,100
Oklahoma City Thunder,114,Indiana Pacers,96
Dallas Mavericks,103,Memphis Grizzlies,94
